Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSSXAOZZ,Z,UNDP,23801,A6,7,,Programme Associate  (Regional Bureau for Asia and the Pacific - Regional Support Unit) - Re-Advertisement,2011
SSSXAOZZ,Z,UNDP,24631,A6,75,,Programme Associate (Regional Bureau for  Asia and the Pacific (RSU) - RE-ADVERTISEMENT,2011
SSSXAOZA,DSFPXK,UNDP,5339,A6,41,External,Programme Associate,2016
SSSXAOXS,KZXPKS,UNDP,30993,A6,130,External,Personal Assistant (Two positions),2012
SSSXAOXK,Z,UNDP,39523,A18,5,,UNDP Chief of Staff & Director,2013
SSSXAOXF,RAKXFR,UNDP,47118,A18,6,Internal,Deputy Assistant Administrator and Deputy Regional Director (RBLAC),2014
SSSXAOXF,FZZZDD,UNDP,31334,A18,2,Internal,Deputy Assistant Administrator and Deputy Director, RBLAC,2012
SSSXAOXF,OFOFKZ,UNDP,8172,A18,26,External,Deputy Regional Director, RBLAC,2017
SSSXAOXA,Z,UNDP,48502,A17,150,,Deputy Director of Independent Evaluation Office,2014
SSSXAOXD,FPDSRD,UNDP,34870,A16,6,Internal,Democratic Governance Team Leader,2013
SSSXAOXP,Z,UNDP,25174,A15,29,,Country Programme Specialist,2019
SSSXAOXP,Z,UNDP,25175,A15,32,,Country Programme Specialist,2019
SSSXAOOS,DODDK,UNDP,28626,A15,21,Internal,Operations Manager,2012
SSSXAOOF,FDFDZP,UNDP,33433,A6,1,Internal,Personal Assistant to the Deputy Regional Director, RBLAC,2012
SSSXADPD,FFORXS,UNDP,22285,A7,242,Internal,Finance and Budget Associate, Administrative Services Division, OFA,2011
SSSXAPSZ,Z,UNDP,33984,A16,7,,Programme Advisor,2012
SSSXAPSZ,XAZPZX,UNDP,4108,A16,12,Internal,Country Programme Advisor,2016
SSSXAPSZ,XAZPZX,UNDP,4302,A16,24,Internal,Country Programme Advisor,2016
SSSXAPSX,Z,UNDP,30291,A14,88,,Procurement Specialist, Central Procurement Unit (CPU/PSO),2012
SSSXAPSX,OKSDAK,UNDP,34934,A14,112,Internal,Procurement Specialist, Central Procurement Unit (CPU/PSO) - Readvertized,2013
SSSXAPSK,DXADAK,UNDP,20926,A14,34,Internal,Audit Specialist,2019
SSSXAPSA,FKDPP,UNDP,28915,A15,140,Internal,Policy Specialist, Programming Policies and Procedures,2012
SSSXAPSR,Z,UNDP,63435,A7,78,,Re-advertisement - Operations Associate,2016
SSSXAPSR,AFORKP,UNDP,25802,A6,182,External,Administrative Associate - RBLAC,2012
SSSXAPZS,FRRPOF,UNDP,14830,A15,99,Internal,Cash Manager(Management Project Funded Post), Cash Management Unit, Treasury Division,2010
SSSXAPZZ,Z,UNDP,24896,A10,66,,Finance Business Analyst (Analytics Lead),2019
SSSXAPZA,RSSKDO,UNDP,25395,A7,55,External,Finance Associate,2012
SSSXAPZP,Z,UNDP,19224,A16,76,,Policy Advsor to Administrator,2018
SSSXAPZP,Z,UNDP,5739,A15,14,,Policy Specialist,2016
SSSXAPZP,FPDXPX,UNDP,58002,A15,134,External,Policy Specialist,2015
SSSXAPXZ,Z,UNDP,17998,A15,61,,Resource Mobilization Specialist,2010
SSSXAPXX,XZDORD,UNDP,23036,A15,101,Internal,Policy Specialist, Executive Office,2011
SSSXAPXX,XOSXFP,UNDP,53909,A15,109,External,Policy Specialist,2015
SSSXAPXO,Z,UNDP,24853,A15,148,,Specialist, UN Intergovernmental Affairs,2011
SSSXAPXO,Z,UNDP,41624,A15,82,,Specialist, UN and Intergovernmental Affairs,2013
SSSXAPXO,SFZODZ,UNDP,23631,A15,117,Internal,UN Coordination and Coherence Specialist,2019
SSSXAPXO,DPKFFX,UNDP,63393,A15,193,External,UN Coordination and Coherence Specialist,2016
SSSXAPXF,DPXSZS,UNDP,21367,A7,58,Internal,Executive Associate,2011
SSSXAPOK,Z,UNDP,33432,A6,4,,Administrative Associate-BOM/OHR/Staff Council,2012
SSSXAPOK,DRRKRO,UNDP,53839,A6,79,Internal,Administrative Associate,2015
SSSXAPOR,Z,UNDP,56105,A15,199,,Management Specialist,2015
SSSXAPKP,DSXKXF,UNDP,22932,A7,23,Internal,UNDP-GEF Global Programme Associate for Ecosystems and Biodiversity,2019
SSSXAPFX,Z,UNDP,26215,A17,13,,Chief – Management and Programme Support Unit,2019
SSSXAPFO,Z,UNDP,24039,A15,101,,Regional Technical Specialist for Climate Change Mitigation and Energy,2019
SSSXAPFO,Z,UNDP,43805,A15,87,,Region-based Technical Specialist for Green Low Emission and Climate Resilient Development Strategies,2014
SSSXAPFK,Z,UNDP,60203,A16,48,,Senior Technical Advisor- Ecosystems and Biodiversity,2015
SSSXAPFP,RRPFFX,UNDP,23153,A17,58,Internal,UNDP GEF Deputy Executive Coordinator,2011
SSSXAPAS,Z,UNDP,28320,A17,75,,Policy Advisor, Climate Change and Energy,2012
SSSXAPAS,Z,UNDP,35438,A17,207,,Policy Advisor, Climate Change and Energy,2013
SSSXAPAR,Z,UNDP,38003,A17,77,,Director, Montreal Protocol Unit,2013
SSSXAPRS,Z,UNDP,33572,A15,65,,Early Recovery Specialist,2012
SSSXAPRO,KSXPDZ,UNDP,23920,A16,95,External,Policy Advisor - Transition & Recovery,2011
SSSXAPRK,Z,UNDP,34454,A15,180,,Specialist (Early Recovery),2012
SSSXAPRA,KXRXXK,UNDP,14263,A17,122,Internal,Chief, Administrative Services Division (ASD), Office of Finance and Administration (OFA), Bureau of Management (BoM), UNDP,2010
SSSXAPRA,KXRXXK,UNDP,15471,A17,43,Internal,Chief, Administrative Services Division (Management Project Funded Post) OFA,2010
SSSXAPDZ,Z,UNDP,11766,A16,127,,Deputy Director, Local Development Finance Practice, UNCDF,2017
SSSXAPDX,Z,UNDP,44874,A7,161,,Business Development & Communications Associate,2014
SSSXAPDX,RPFAKD,UNDP,3653,A7,37,Internal,Partnerships, Policy & Communications Associate, UNCDF,2016
SSSXRAXP,Z,UNDP,26829,A16,184,,Administrative Assistant,2011
SSSXRAXP,SAXPZO,UNDP,14273,A16,11,Internal,Administrative Assistant,2010
SSSXPDAX,AKRPKA,UNDP,14945,A16,64,External,Policy Advisor (Macroeconomist),2010
SSSXPDAA,SKPOKX,UNDP,29007,A15,17,Internal,Programme Specialist (Country Support Team),2012
SSSXPDAR,SFZSAF,UNDP,24326,A16,28,Internal,Operations Advisor,2019
SSSXPDRZ,Z,UNDP,61306,A14,27,,ICT Specialist,2015
SSSXPDRX,PPXXRK,UNDP,27415,A7,6,Internal,Administrative Associate (Proc., Asset Mngt & HR Support),2012
SSSXPDRO,SSOKRF,UNDP,34834,A7,7,Internal,Programme Associate,2013
SSSXPDRK,Z,UNDP,54806,A7,7,,Administrative Associate,2015
SSSXPDRR,Z,UNDP,15555,A6,203,,Administrative Associate,2010
SSSXPDRR,Z,UNDP,21441,A6,50,,Administrative Associate,2011
SSSXPDRR,Z,UNDP,35103,A6,110,,Administrative Associate,2013
SSSXPDDX,ODDPPX,UNDP,27498,A6,22,External,Executive Associate to the Deputy Regional Director,2012
SSSXPPSZ,Z,UNDP,20287,A16,15,,Programme Advisor,2010
SSSXPPZX,PSXZXS,UNDP,18820,A14,206,Internal,Field Security Specialist,2010
SSSXPPZX,OZKPRP,UNDP,28025,A14,414,External,Field Security Specialist,2012
SSSXPPZR,Z,UNDP,22541,A15,65,,Regional Technical Specialist for Water, Ecosystems, and Biodiversity,2019
SSSXPPZR,Z,UNDP,64223,A15,142,,Re advertisement: Regional Technical Specialist for Climate Change Mitigation and Energy,2016
SSSXPPZR,Z,UNDP,8504,A15,80,,Regional Technical Specialist for Climate Change Mitigation and Energy,2017
SSSXPPZR,AZPKAS,UNDP,22532,A15,37,Internal,Regional Technical Specialist for Energy, Infrastructure, Transport and Technology,2011
SSSXPPOS,Z,UNDP,54179,A14,249,,Programme Specialist (Task Team on Conflict Prevention),2015
SSSXPPOS,FZSXXX,UNDP,28505,A14,247,External,Programme Specialist (Framework Team),2012
SSSXPPOF,Z,UNDP,57581,A18,69,,Director, Management Services, BoM,2015
SSSXPPOF,Z,UNDP,86982,A18,118,,Deputy Director,2019
SSSXPPOF,KXPARS,UNDP,30787,A18,6,Internal,Deputy Assistant Administrator and Deputy Director, Bureau of Management,2012
SSSXPPRP,Z,UNDP,13413,A17,31,,Country Director,2010
SSSXPPDS,Z,UNDP,18994,A17,20,,Country Director,2010
SSSXPPPZ,Z,UNDP,25429,A14,244,,Procurement Specialist,2019
SSSXPPPZ,PDFPZ,UNDP,65592,A14,463,Internal,Procurement Specialist (Based in Nairobi, Kenya),2016
SSSOSSZF,KXXDPA,UNDP,19882,A14,118,Internal,Programme Specialist, Partnership Programmes,2011
SSSOSSFA,RSSSDS,UNDP,14495,A17,73,Internal,Regional Programme Manager - BOMCA,2010
SSSOSSAS,Z,UNDP,57809,A16,89,,Strategic Planning Advisor,2015
SSSOSSAF,Z,UNDP,19883,A15,54,,Programme Specialist, PEMSEA Secretariat Services,2011
SSSOSSAA,Z,UNDP,51630,A15,124,,Policy Specialist (Public Administration Reform & Anti-Corruption),2014
SSSOSSDP,SOFOSA,UNDP,34985,A15,222,External,Policy Specialist on Legal Reform, Civil Society and Access to Justice,2013
SSSOSZZK,KRKAFD,UNDP,22919,A15,203,Internal,Field Security Specialist,2011
SSSOSZZK,KRXRDP,UNDP,14315,A15,335,External,Field Security Specialist - READVERTISEMENT,2010
SSSOSZOO,Z,UNDP,30373,A14,183,,Procurement Specialist,2012
SSSOSZOO,Z,UNDP,32993,A14,250,,Procurement Specialist (Readvertisement),2012
SSSOSZOO,PZXAXR,UNDP,16254,A14,140,Internal,Procurement Specialist,2010
SSSOSXKK,FXDDOR,UNDP,59786,A16,75,External,Human Resources Assistant - Open for Kyrgyz Nationals Only,2015
SSSOSXKK,KZXRRS,UNDP,6756,A16,91,Internal,Human Resources Assistant,2017
SSSOSXKF,Z,UNDP,34553,A16,50,,Finance Assistant - Open to Kyrgyzstan nationals only,2012
SSSOSXRK,FZKZOX,UNDP,55298,A16,1,Internal,Procurement Assistant,2015
SSSOSXRK,FZKZOX,UNDP,57837,A16,49,Internal,Procurement Assistant (Open to Cambodian nationals only),2015
SSSOSXDP,Z,UNDP,40645,A6,2,,Logistics  & Asset Associate (Open only for South Sudan nationals currently working with UNDP South Sudan),2013
SSSOKXZD,Z,UNDP,16592,A15,37,,Human Resources Specialist,2018
SSSOKXZD,Z,UNDP,39170,A15,45,,Human Resources Specialist,2013
SSSOKXZP,DFDKDX,UNDP,28620,A16,49,Internal,Operations Advisor, BDP,2012
SSSOKXXS,XRAADO,UNDP,35309,A15,219,Internal,Policy Specialist (Economic and Development Specialist),2013
SSSOKXFA,Z,UNDP,48404,A7,142,,Finance Associate (Open to Nationals of Zimbabwe),2014
SSSOKXFA,Z,UNDP,6041,A7,8,,Finance Associate,2016
SSSOKXFA,Z,UNDP,6125,A7,173,,Finance Associate,2016
SSSOKXFA,OFFZOF,UNDP,59381,A7,78,External,Finance Associate - Open to Zimbabwean Nationals Only,2015
SSSOKXFP,PZXDSZ,UNDP,30048,A17,4,Internal,Deputy Country Director (Operations),2012
SSSOKXAS,Z,UNDP,60673,A7,35,,UNWOMEN - FINANCE ASSOCIATE,2015
SSSOKOSS,Z,UNDP,33837,A14,6,,Special Assistant to the Deputy Director,2012
SSSOKOSK,Z,UNDP,50815,A16,793,,Finance Assistant,2014
SSSOKOKD,KKXPKS,UNDP,36415,A15,231,Internal,Programme Specialist, Oversight and Support of Caribbean Country Offices,2013
SSSOKOPS,XOPRKK,UNDP,29296,A15,101,Internal,Recovery Specialist - BCPR,2012
SSSOKOPK,RKSAXX,UNDP,24020,A15,119,Internal,Programme Specialist (Rural Livelihoods and Recovery),2011
SSSOKKZA,SSFAAF,UNDP,29236,A15,22,Internal,Operations Manager,2012
SSSOKKZR,PZSAFF,UNDP,63122,A16,78,External,Chief, Quality Assurance & Policy Unit (Audit),2016
SSSOKFZD,Z,UNDP,17521,A14,32,,Finance Specialist,2010
SSSOKFZD,Z,UNDP,18339,A14,132,,Finance Specialist,2010
SSSOKFZD,Z,UNDP,48217,A14,217,,Operations Manager,2014
SSSOKFZP,DKXARP,UNDP,16805,A14,108,Internal,Chargé des Opérations,2010
SSSOKFZP,RPFOS,UNDP,63299,A14,209,Internal,Operations Manager,2016
SSSOKFZP,FXDSAX,UNDP,10188,A14,110,Internal,Operations Manager,2017
SSSOKFXS,Z,UNDP,51219,A14,81,,Operations Manager -  (Vacancy open to Common UN System Only),2014
SSSOKFXS,SKORKA,UNDP,15966,A14,241,Internal,Finance Specialist,2010
SSSOKFAP,Z,UNDP,48729,A15,194,,Project Manager, Community Security Project,2014
SSSOKAKR,XOXKOA,UNDP,5605,A15,56,Internal,Investigations Specialist,2016
SSSOKARR,Z,UNDP,19059,A16,466,,HIV/AIDS Advisor - Human Rights, Gender and Sexual Diversity,2010
SSSOKRZD,PXDZZZ,UNDP,15122,A16,42,Internal,Country Director,2010
SSSOKRZD,OAKRZZ,UNDP,42069,A16,20,Internal,Country Director,2013
SSSOKRXZ,Z,UNDP,41767,A16,9,,Country Director,2013
SSSOKRRZ,RFAOPZ,UNDP,29939,A17,10,Internal,Manager, Bratislava Regional centre (BRC),2012
SSSOKDXX,Z,UNDP,20521,A14,70,,Financial Management Specialist - Fund Management Unit - (MPF) Post,2011
SSSOKDXX,Z,UNDP,25383,A14,204,,Financial Management Specialist (FMU) - MPF Post,2011
SSSOKDXF,SKKPZD,UNDP,55292,A9,2,External,ICT Analyst,2015
SSSOKDXF,SKKPZD,UNDP,57352,A9,50,External,ICT Analyst (Open to Cambodian nationals only),2015
SSSOKDXF,ADARXO,UNDP,8906,A7,50,Internal,ICT Associate,2017
SSSOKDAA,DKOAXF,UNDP,52371,A7,6,Internal,Procurement Associate - (Etre de nationalité Congolaise),2015
SSSOKDRR,Z,UNDP,25235,A14,154,,Programme Specialist (Disaster Risk Reduction) / New York,2011
SSSOKDPO,Z,UNDP,32817,A16,147,,HR Assistant - For Mauritian Nationals Only,2012
SSSOKDPO,DSRXXD,UNDP,43493,A16,226,External,Human Resources (HR) Assistant,2014
SSSOKDPO,FFSZRA,UNDP,65726,A16,128,External,Human Resources (HR) Assistant - (Open to Mauritius Nationals Only),2016
SSSOKPOR,KSZZSPAD,UNDP,16191,A9,49,External,Operations Analyst,2018
SSSOKPKO,Z,UNDP,18099,A16,219,,Finance Assistant,2010
SSSOKPKO,Z,UNDP,33858,A16,215,,Finance Assistant,2012
SSSOKPKO,PZODD,UNDP,47373,A16,124,External,Finance Assistant (Open to Egyptian Nationals only),2014
SSSOKPKO,DODAKD,UNDP,20773,A16,316,External,Finance Assistant,2011
SSSOKPKO,KSZZDRFZ,UNDP,22057,A16,61,External,Finance Assistant,2019
SSSOKPKO,KSZZDRFZ,UNDP,24954,A16,34,External,Finance Assistant,2019
SSSOAOSX,Z,UNDP,33938,A15,148,,Deputy Regional Security Specialist for Central Africa (READVERTISEMENT),2012
SSSOAOSX,RROSRZ,UNDP,21783,A14,185,Internal,Field Security Specialist for the Democratic Republic of the Congo,2011
SSSOAOSX,RROSRZ,UNDP,23641,A14,211,Internal,Field Security Specialist for the Democratic Republic of the Congo (READVERTISEMENT),2011
SSSOAOSK,Z,UNDP,41949,A15,103,,Deputy Regional Security Specialist for East Africa,2013
SSSOAOSF,Z,UNDP,26884,A15,96,,Deputy Regional Security Specialist for Southeast Asia & the Pacific,2011
SSSOAOSA,FARRXF,UNDP,16656,A15,125,Internal,Sub-regional Security Advisor (Northeast Asia & the Mekong),2010
SSSOAOSR,Z,UNDP,10575,A15,181,,Deputy Reg Security Specialist,2017
SSSOAOSR,Z,UNDP,40927,A15,1,,Deputy Regional Security Specialist for South and West Asia,2013
SSSOAOSR,Z,UNDP,9349,A15,65,,Deputy Reg Security Specialist,2017
SSSOAOSD,Z,UNDP,51872,A15,90,,Re-advertisement - Sub-regional Security Specialist for the Maghreb Arab States,2015
SSSOAOZS,DOKXRR,UNDP,64432,A8,188,Internal,National Security Officer/ UNDP-Jordan,2016
SSSOAOZX,Z,UNDP,14808,A15,126,,Regional Security Advisor, Europe & Commonwealth of Independent States,2010
SSSOAOZX,Z,UNDP,16771,A15,106,,Regional Security Advisor for Europe & the CIS,2010
SSSOAOZX,Z,UNDP,19064,A15,2,,Regional Security Advisor for Europe & the CIS,2010
SSSOAOZX,Z,UNDP,27030,A15,153,,Regional Security Advisor,2019
SSSOAOZX,PAAZPD,UNDP,6123,A15,161,Internal,Security Advisor,2016
SSSOAOOS,XORFXR,UNDP,35046,A14,316,Internal,Programme Specialist, Management,2013
SSSOAOFS,Z,UNDP,23442,A15,177,,Programme Specialist,2011
SSSOAOFS,Z,UNDP,24653,A15,90,,Programme Specialist (Johannesburg),2011
SSSOAOFX,Z,UNDP,30933,A15,159,,Programme Specialist (Africa),2012
SSSOAOFX,Z,UNDP,33089,A15,198,,Programme Specialist (Africa) Re-advertised,2012
SSSOAOPK,AFRXRD,UNDP,14973,A17,263,External,Programme Management Specialist (Principal Programme Coordinator),2010
SSSOAKZP,Z,UNDP,18583,A14,219,,Regional Technical Specialist for Energy, Infrastructure and Transport (Re-advertised),2010
SSSOAKKZ,RPDFPS,UNDP,45989,A6,2,Internal,Executive Associate vacancy,2014
SSSOAKKZ,KSZZZAPA,UNDP,16662,A6,16,External,Executive Associate to RR/RC and DRR - UNDP Moldova Country Office,2018
SSSOAKKR,Z,UNDP,22219,A16,33,,Executive Assistant (to DRR-Operations),2019
SSSOAKKR,KOPPSR,UNDP,53281,A16,44,External,Operations Assistant to DCD/Operations - (Open to Liberian Nationals Only),2015
SSSOAKAX,Z,UNDP,31277,A15,222,,UN Coordination Specialist - RC Office,2012
SSSOAKAX,XRAPPK,UNDP,16463,A15,103,Internal,Resident Coordination Advisor,2010
SSSOAKPX,Z,UNDP,31861,A15,196,,UN Coordination Specialist - RC Office,2012
SSSOAKPX,Z,UNDP,36829,A15,272,,UN Coordination Specialist - RC Office  (RE-ADVERTISEMENT),2013
SSSOAKPR,ZZROSX,UNDP,15299,A15,143,Internal,Finance Specialist,2018
SSSOAKPR,ROAFOF,UNDP,27722,A15,218,External,Finance Specialist,2012
SSSOAKPR,ROAFOF,UNDP,28703,A15,190,External,Finance Specialist (Re-advertised with updated competencies),2012
SSSOAKPR,XFDZRS,UNDP,54875,A15,99,Internal,Finance Specialist,2015
SSSOAFRP,Z,UNDP,40101,A15,277,,Assistant Country Director (Programme),2013
SSSOAFDR,Z,UNDP,17015,A7,20,,Procurement Associate,2018
SSSOAFDR,Z,UNDP,55297,A7,2,,Procurement Associate,2015
SSSOAFDR,XFDFZD,UNDP,14023,A7,99,Internal,Procurement Associate,2010
SSSOAASD,Z,UNDP,60294,A9,15,,Programme Finance Analyst (Local national UNDP staff in Bangladesh with PA & FTA are only eligible to apply),2015
SSSOAASD,XSDARD,UNDP,62658,A9,194,External,Programme Finance Analyst - Country Office,2016
SSSOAAOP,Z,UNDP,41768,A15,81,,Gender  Policy Specialist,2013
SSSOAAOP,DZDFAA,UNDP,8334,A15,55,External,Policy Specialist (Gender),2017
SSSODPSO,PDKKZO,UNDP,60189,A16,25,Internal,Finance Assistant,2015
SSSODPSF,ASOSRO,UNDP,28624,A15,6,Internal,Finance Treasure Clerk,2012
SSSODPAZ,Z,UNDP,14126,A14,896,,Monitoring and Evaluation Specialist, Local Development Programme,2010
SSSODPAX,Z,UNDP,31353,A6,28,,Programme Finance Associate,2012
SSSODPAX,Z,UNDP,41339,A6,83,,Finance Associate,2013
SSSODPAO,XFSRXK,UNDP,42461,A16,55,External,ICT Support Assistant,2014
SSSODPAF,KKDXKP,UNDP,31574,A6,37,External,Programme/Finance Associate,2012
SSSODPRS,Z,UNDP,68968,A9,82,,Programme Analyst (Poverty Reduction),2016
SSSODPRS,PXXKDR,UNDP,36754,A9,111,External,Programme Analyst - UNDP Country Office VA No. 2013/04/163,2013
SSSODPPD,Z,UNDP,45394,A16,56,,Economics Advisor,2014
SSSOPSZR,AARDDF,UNDP,55639,A16,52,Internal,Economics Advisor,2015
SSSOPSZP,Z,UNDP,45412,A16,64,,Economics Advisor,2014
SSSOPSZP,Z,UNDP,53062,A16,95,,Economics Advisor,2015
SSSOPSXK,Z,UNDP,53057,A16,67,,Economics Advisor,2015
SSSOPSOS,Z,UNDP,43500,A16,162,,Economics Advisor,2014
SSSOPSOK,Z,UNDP,53063,A16,94,,Economics Advisor,2015
SSSOPSOA,Z,UNDP,53061,A16,87,,Economics Advisor,2015
SSSOPSOR,Z,UNDP,45389,A16,59,,Economics Advisor,2014
SSSOPSOD,Z,UNDP,53064,A16,137,,Economics Advisor,2015
SSSOPZFX,FKKRAO,UNDP,14199,A9,5,External,UN Coordination Analyst,2018
SSSOPXPD,Z,UNDP,60287,A10,5,,Business Development Advisor (Specialist) (Local national UNDP staff in Bangladesh with PA & FTA are only eligible to apply),2015
SSSOPKAD,SFFXDZ,UNDP,54827,A7,4,Internal,Security Associate,2015
SSSOPFKA,Z,UNDP,32162,A15,187,,Head of Provincial Office and Programme Coordinator,2012
SSSOPFFS,Z,UNDP,15869,A15,199,,Programme Specialist,2010
SSSOPAKZ,FAXDXS,UNDP,56822,A15,148,Internal,Partnerships Specialist - Peacebuilding, International Dialogue, New Deal,2015
SSSOPAFF,RDFRRP,UNDP,52576,A10,172,External,UN Coordination Specialist,2015
SSSOPROO,Z,UNDP,23936,A16,156,,Policy Advisor, Decentralization and Local Governance,2011
SSSOPROR,Z,UNDP,23248,A15,128,,Policy Specialist, Justice and Human Rights,2011
SSSOPROR,Z,UNDP,27992,A15,85,,Policy Specialist, Justice and Human Rights,2012
SSSOPROR,Z,UNDP,38346,A15,179,,Anti-Corruption Specialist,2013
SSSOPROP,KPARSO,UNDP,40285,A15,123,Internal,Re-advertisement - Anti-Corruption Specialist,2013
SSSOPPAR,Z,UNDP,32559,A9,16,,Programme Support Analyst (for Laos Nationals only),2012
SSSKSSZR,Z,UNDP,33712,A6,935,,Procurement Associate,2012
SSSKSSPF,POXXFD,UNDP,22882,A14,111,Internal,Programme Specialist (Armed Violence Prevention and Small Arms),2011
SSSKSXKD,Z,UNDP,33491,A16,200,,Policy Advisor - World Centre for Sustainable Development,2012
SSSKSXDZ,Z,UNDP,13340,A7,19,,Operations/Finance Associate,2017
SSSKSXDZ,KFKPZR,UNDP,15408,A7,15,Internal,Operations/Finance Associate,2018
SSSKSOOZ,XPKAAS,UNDP,57351,A6,29,External,Executive Associate to CD/DCD (Open to Cambodian nationals only),2015
SSSKSOKD,Z,UNDP,18817,A15,453,,Policy (Research) Specialist (HDRO),2010
SSSKSOKP,XDRPDO,UNDP,47382,A15,14,Internal,Re-advertisement - Policy Specialist (Human Development Report Office),2014
SSSKSORK,Z,UNDP,40152,A17,6,,Deputy Country Director (Programme),2013
SSSKSKSF,XZXDSP,UNDP,23390,A16,62,Internal,Project Manager, Constitution-Making Support Project (DPF),2011
SSSKSKKP,Z,UNDP,38040,A14,216,,Programme Specialist,2013
SSSKSKFZ,Z,UNDP,9163,A10,24,,Programme Analyst,2017
SSSKSKFX,Z,UNDP,27648,A6,36,,Programme Finance Associate,2019
SSSKSKFX,Z,UNDP,51413,A6,47,,Programme Finance Associate - (Open to Fiji Nationals Only),2014
SSSKSKFX,Z,UNDP,7305,A6,27,,Programme Finance Associate,2016
SSSKSKFK,Z,UNDP,33768,A9,56,,Programme Analyst,2012
SSSKSKDX,FOXXAP,UNDP,24063,A16,236,External,Programme Management Advisor,2011
SSSKSFSA,Z,UNDP,25277,A16,355,,Administrative Assistant, HIV/AIDs,2011
SSSKOSSR,Z,UNDP,6170,A15,39,,Programme Specialist,2016
SSSKOSOP,KSDSZ,UNDP,4018,A15,43,External,Regional Technical Specialist for Ecosystems and Biodiversity,2016
SSSKOSFR,Z,UNDP,45166,A6,56,,Local Travel & Protocol Associate - (Open to South Sudan Nationals Only),2014
SSSKOSFR,Z,UNDP,48741,A6,70,,Local Travel and Protocol Associate - (South Sudanese Nationals Only),2014
SSSKOSFR,DZSORP,UNDP,53410,A6,53,External,Local Travel and Protocol Associate- (Open to South Sudanese Nationality Only),2015
SSSKOSFR,DZSORP,UNDP,55874,A6,47,External,Re-advertisement of Local Travel and Protocol Associate (South Sudanese Nationality Only),2015
SSSKOSPR,OOOF,UNDP,3800,A15,88,Internal,Regional Technical Specialist for Ecosystems and Biodiversity,2017
SSSKOZOX,SRXAKA,UNDP,23942,A8,1,Internal,OPERATIONS ANALYST,2011
SSSKOZDR,Z,UNDP,18525,A14,43,,Regional Technical Specialist- Strategies and Adaptation,2010
SSSKOXAP,Z,UNDP,17221,A14,91,,Deputy Transition Coordinator,2010
